,0
0045152,8.3
0105417,6.5
0088128,7.0
1564585,4.5
5758778,5.8
0240900,5.3
0108160,6.8
0162661,7.3
5690360,3.3
0857265,6.3
0117666,8.0
0439815,6.5
2063781,6.7
0614236,7.8
0076729,7.0
0208092,8.2
0120834,6.7
1735898,6.1
1706620,7.1
0108174,6.5
0307479,6.2
0970452,6.1
0473267,5.3
0094006,7.0
0053291,8.2
0086336,6.7
0337741,6.8
0081534,7.2
3808342,7.4
1232783,5.2
0469188,6.9
0069303,7.5
0945513,7.5
0158983,7.7
0083111,7.1
1954843,5.6
0094012,7.1
0120174,3.0
0371246,6.4
0054331,7.9
0360009,6.5
0111257,7.3
0096152,5.8
0120184,6.1
0145487,7.4
0316654,7.5
4633694,8.4
1017460,5.8
1895587,8.1
0090060,6.4
2170593,7.2
0046359,7.9
3385524,7.2
0796366,7.9
0117731,7.6
0111280,6.6
0084726,7.7
0092007,7.3
0120844,6.4
0253754,6.4
0079945,6.4
0092455,8.7
0098382,5.5
0120915,6.5
0121765,6.6
0121766,7.6
0076759,8.6
0080684,8.7
2488496,7.7
0111282,7.0
0088172,7.0
0120202,6.7
0040835,6.6
0371257,6.7
0120686,6.8
2080374,7.2
0430634,6.4
0145531,6.2
0164181,6.9
0286162,6.5
1423995,5.4
0250081,6.8
1398426,7.8
0114558,7.2
0420223,7.5
4574334,8.6
0044079,7.9
0421073,6.8
0243585,5.5
1440292,7.3
0491175,5.8
0178047,3.9
3263904,7.4
5774450,6.7
0043014,8.4
0448134,7.2
1650062,7.0
5112578,6.6
0108255,4.2
0829482,7.6
0114582,5.8
0088206,4.4
0078346,7.4
0081573,6.8
0086393,5.0
0094074,3.8
1453257,6.0
0986263,6.3
0261336,6.7
0324127,5.8
1034415,6.7
0408236,7.3
0230838,6.7
0051036,8.0
0117802,7.2
0244244,6.5
0383028,7.5
0365737,6.9
0117880,7.6
0453556,6.2
1675192,7.3
0936501,7.7
0364045,6.2
0037343,6.9
0415306,6.6
1486190,6.2
0034266,6.4
0075314,8.2
0372588,7.2
0086423,7.3
6723592,7.3
0103064,8.6
0181852,6.3
0438488,6.5
0086425,7.4
1441953,7.2
1572315,4.8
0427944,7.5
0405422,7.1
0051337,7.0
0429493,6.7
0115452,5.0
0096754,7.5
0094606,6.7
2140479,7.3
0101272,7.0
1385826,7.0
0086856,6.2
0098987,6.4
0983193,7.3
6141246,6.6
0043265,7.7
1440728,6.3
0112346,6.9
1294970,5.7
0254099,6.3
0053604,8.3
0115571,6.2
1655442,7.8
0118647,6.8
0052587,5.2
0118661,3.8
0338751,7.5
2321549,6.8
4225622,6.4
1212436,5.3
6412452,7.2
0357470,6.0
1321860,6.6
5592248,6.3
0247199,7.1
1412386,7.2
5173200,7.4
0083642,6.1
0095250,7.5
0092654,6.5
0118715,8.1
1596363,7.8
5462602,7.5
0038355,7.9
0402850,6.3
0056869,7.6
4196450,6.6
0387877,5.6
0185937,6.5
0878804,7.6
2132285,5.6
0037549,7.3
0103855,6.4
0099165,5.6
1037705,6.8
0144117,7.6
1300851,6.2
2702724,5.4
0258463,7.8
0372183,7.7
0440963,8.0
0362478,5.6
0787474,6.8
3181822,4.7
0112572,6.2
0476964,6.7
